epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.945,0,124.201,0,0,0,0,0,0,209.946,0,0.0001785,0.0001785,0.0001785
2,279.443,0,113.31,0,0,0,0,0,0,193.694,0,0.00035693,0.00035693,0.00035693
3,415.32,0,104.286,0,0,0,0,0,0,158.687,0,0.000528009,0.000528009,0.000528009
4,563.336,0,97.7562,0,0,0,0,0,0,2471.18,0,0.000671588,0.000671588,0.000671588
5,709.724,0,92.1219,0,0,0,0,0,0,1034.83,0,0.000657451,0.000657451,0.000657451
6,859.571,0,86.929,0,0,0,0,0,0,142.562,0,0.000643314,0.000643314,0.000643314
7,1006.08,0,81.8365,0,0,0,0,0,0,243.388,0,0.000629177,0.000629177,0.000629177
8,1152.42,0,76.8056,0,0,0,0,0,0,130.789,0,0.00061504,0.00061504,0.00061504
9,1299.85,0,71.9059,0,0,0,0,0,0,131.747,0,0.000600902,0.000600902,0.000600902
10,1447.9,0,67.3887,0,0,0,0,0,0,116.479,0,0.000586765,0.000586765,0.000586765
11,1594.35,0,62.989,0,0,0,0,0,0,111.273,0,0.000572628,0.000572628,0.000572628
12,1742.4,0,58.7952,0,0,0,0,0,0,100.631,0,0.000558491,0.000558491,0.000558491
13,1892.23,0,54.8302,0,0,0,0,0,0,93.3961,0,0.000544354,0.000544354,0.000544354
14,2042.03,0,51.1421,0,0,0,0,0,0,86.5655,0,0.000530216,0.000530216,0.000530216
15,2189.12,0,47.623,0,0,0,0,0,0,80.1244,0,0.000516079,0.000516079,0.000516079
16,2336.26,0,44.4272,0,0,0,0,0,0,75.7575,0,0.000501942,0.000501942,0.000501942
17,2483.91,0,41.3786,0,0,0,0,0,0,68.7092,0,0.000487805,0.000487805,0.000487805
